bare,"[""bible_8.txt"", ""bible_9.txt""]"
barefoot,"[""bible_9.txt""]"
barest,"[""bible_9.txt""]"
bark,"[""bible_9.txt""]"
barley,"[""bible_9.txt""]"
barns,"[""bible_8.txt""]"
barren,"[""bible_8.txt"", ""bible_9.txt""]"
barrenness,"[""bible_8.txt""]"
bars,"[""bible_8.txt"", ""bible_9.txt""]"
base,"[""bible_9.txt""]"
bashan,"[""bible_8.txt"", ""bible_9.txt""]"
baskets,"[""bible_9.txt""]"
bath,"[""bible_9.txt""]"
bathed,"[""bible_9.txt""]"
bathrabbim,"[""bible_9.txt""]"
bats,"[""bible_9.txt""]"
battle,"[""bible_8.txt"", ""bible_9.txt""]"
battlements,"[""bible_9.txt""]"
battles,"[""bible_9.txt""]"
bay,"[""bible_8.txt""]"
be,"[""bible_8.txt"", ""bible_9.txt""]"
beacon,"[""bible_9.txt""]"
beams,"[""bible_8.txt"", ""bible_9.txt""]"
bear,"[""bible_8.txt"", ""bible_9.txt""]"
beard,"[""bible_8.txt"", ""bible_9.txt""]"
bearest,"[""bible_8.txt""]"
beareth,"[""bible_9.txt""]"
bearing,"[""bible_8.txt""]"
bears,"[""bible_9.txt""]"
beast,"[""bible_8.txt"", ""bible_9.txt""]"
beasts,"[""bible_8.txt"", ""bible_9.txt""]"
beat,"[""bible_8.txt"", ""bible_9.txt""]"
beaten,"[""bible_8.txt"", ""bible_9.txt""]"
beatest,"[""bible_8.txt""]"
beauties,"[""bible_8.txt""]"
beautiful,"[""bible_8.txt"", ""bible_9.txt""]"
beautify,"[""bible_8.txt"", ""bible_9.txt""]"
beauty,"[""bible_8.txt"", ""bible_9.txt""]"
became,"[""bible_8.txt""]"
because,"[""bible_8.txt"", ""bible_9.txt""]"
become,"[""bible_8.txt"", ""bible_9.txt""]"
becometh,"[""bible_8.txt"", ""bible_9.txt""]"
bed,"[""bible_8.txt"", ""bible_9.txt""]"
bedchamber,"[""bible_9.txt""]"
beds,"[""bible_8.txt"", ""bible_9.txt""]"
bee,"[""bible_9.txt""]"
been,"[""bible_8.txt"", ""bible_9.txt""]"
beerelim,"[""bible_9.txt""]"
bees,"[""bible_8.txt""]"
befall,"[""bible_8.txt""]"
befalleth,"[""bible_9.txt""]"
before,"[""bible_8.txt"", ""bible_9.txt""]"
beforetime,"[""bible_9.txt""]"
beg,"[""bible_8.txt""]"
begat,"[""bible_8.txt""]"
beget,"[""bible_9.txt""]"
begettest,"[""bible_9.txt""]"
begetteth,"[""bible_8.txt"", ""bible_9.txt""]"
begging,"[""bible_8.txt""]"
beginning,"[""bible_8.txt"", ""bible_9.txt""]"
begotten,"[""bible_9.txt""]"
behave,"[""bible_8.txt"", ""bible_9.txt""]"
behaved,"[""bible_8.txt""]"
beheld,"[""bible_8.txt"", ""bible_9.txt""]"
behind,"[""bible_8.txt"", ""bible_9.txt""]"
behold,"[""bible_8.txt"", ""bible_9.txt""]"
beholdest,"[""bible_8.txt""]"
beholdeth,"[""bible_8.txt""]"
beholding,"[""bible_8.txt"", ""bible_9.txt""]"
being,"[""bible_8.txt"", ""bible_9.txt""]"
bel,"[""bible_9.txt""]"
belch,"[""bible_8.txt""]"
belied,"[""bible_9.txt""]"
believe,"[""bible_9.txt""]"
believed,"[""bible_8.txt"", ""bible_9.txt""]"
believeth,"[""bible_8.txt"", ""bible_9.txt""]"
bellows,"[""bible_9.txt""]"
belly,"[""bible_8.txt"", ""bible_9.txt""]"
belong,"[""bible_8.txt"", ""bible_9.txt""]"
belongeth,"[""bible_8.txt""]"
belonging,"[""bible_9.txt""]"
beloved,"[""bible_8.txt"", ""bible_9.txt""]"
beloveds,"[""bible_9.txt""]"
bend,"[""bible_8.txt""]"
bendeth,"[""bible_8.txt""]"
bending,"[""bible_9.txt""]"
beneath,"[""bible_8.txt"", ""bible_9.txt""]"
benefits,"[""bible_8.txt""]"
benjamin,"[""bible_8.txt"", ""bible_9.txt""]"
bent,"[""bible_8.txt"", ""bible_9.txt""]"
bereave,"[""bible_9.txt""]"
berries,"[""bible_9.txt""]"
beryl,"[""bible_9.txt""]"
beseech,"[""bible_8.txt"", ""bible_9.txt""]"
beset,"[""bible_8.txt""]"
beside,"[""bible_8.txt"", ""bible_9.txt""]"
besiege,"[""bible_9.txt""]"
besieged,"[""bible_9.txt""]"
besom,"[""bible_9.txt""]"
best,"[""bible_8.txt"", ""bible_9.txt""]"
bestead,"[""bible_9.txt""]"
bestowed,"[""bible_9.txt""]"
bether,"[""bible_9.txt""]"
bethhaccerem,"[""bible_9.txt""]"
betimes,"[""bible_8.txt""]"
better,"[""bible_8.txt"", ""bible_9.txt""]"
between,"[""bible_8.txt"", ""bible_9.txt""]"
betwixt,"[""bible_9.txt""]"
beulah,"[""bible_9.txt""]"
bewail,"[""bible_9.txt""]"
bewaileth,"[""bible_9.txt""]"
beware,"[""bible_8.txt"", ""bible_9.txt""]"
bewray,"[""bible_9.txt""]"
bewrayeth,"[""bible_9.txt""]"
beyond,"[""bible_9.txt""]"
bill,"[""bible_9.txt""]"
billows,"[""bible_8.txt""]"
bind,"[""bible_8.txt"", ""bible_9.txt""]"
bindeth,"[""bible_8.txt"", ""bible_9.txt""]"
bird,"[""bible_8.txt"", ""bible_9.txt""]"
birds,"[""bible_8.txt"", ""bible_9.txt""]"
birth,"[""bible_8.txt"", ""bible_9.txt""]"
bit,"[""bible_8.txt""]"
bite,"[""bible_9.txt""]"
biteth,"[""bible_8.txt""]"
bitter,"[""bible_8.txt"", ""bible_9.txt""]"
bitterly,"[""bible_9.txt""]"
bittern,"[""bible_9.txt""]"
bitterness,"[""bible_8.txt"", ""bible_9.txt""]"
black,"[""bible_8.txt"", ""bible_9.txt""]"
blackness,"[""bible_9.txt""]"
blaspheme,"[""bible_8.txt""]"
blasphemed,"[""bible_8.txt"", ""bible_9.txt""]"
blasphemeth,"[""bible_8.txt""]"
blasphemy,"[""bible_9.txt""]"
blast,"[""bible_8.txt"", ""bible_9.txt""]"
blasted,"[""bible_9.txt""]"
bless,"[""bible_8.txt"", ""bible_9.txt""]"
blessed,"[""bible_8.txt"", ""bible_9.txt""]"
blessest,"[""bible_8.txt""]"
blesseth,"[""bible_8.txt"", ""bible_9.txt""]"
blessing,"[""bible_8.txt"", ""bible_9.txt""]"
blessings,"[""bible_8.txt"", ""bible_9.txt""]"
blind,"[""bible_8.txt"", ""bible_9.txt""]"
blood,"[""bible_8.txt"", ""bible_9.txt""]"
bloodguiltiness,"[""bible_8.txt""]"
bloodthirsty,"[""bible_9.txt""]"
bloody,"[""bible_8.txt""]"
blossom,"[""bible_9.txt""]"
blot,"[""bible_8.txt""]"
blotted,"[""bible_8.txt"", ""bible_9.txt""]"
blotteth,"[""bible_9.txt""]"
blow,"[""bible_8.txt"", ""bible_9.txt""]"
bloweth,"[""bible_9.txt""]"
blown,"[""bible_9.txt""]"
blueness,"[""bible_8.txt""]"
blunt,"[""bible_9.txt""]"
blush,"[""bible_9.txt""]"
boar,"[""bible_8.txt""]"
boards,"[""bible_9.txt""]"
boast,"[""bible_8.txt"", ""bible_9.txt""]"
boastest,"[""bible_8.txt""]"
boasteth,"[""bible_8.txt"", ""bible_9.txt""]"
bodies,"[""bible_8.txt""]"
body,"[""bible_8.txt"", ""bible_9.txt""]"
boil,"[""bible_9.txt""]"
bold,"[""bible_9.txt""]"
boldness,"[""bible_9.txt""]"
bondage,"[""bible_9.txt""]"
bonds,"[""bible_8.txt"", ""bible_9.txt""]"
bone,"[""bible_9.txt""]"
bones,"[""bible_8.txt"", ""bible_9.txt""]"
bonnets,"[""bible_9.txt""]"
book,"[""bible_8.txt"", ""bible_9.txt""]"
books,"[""bible_9.txt""]"
border,"[""bible_8.txt"", ""bible_9.txt""]"
borders,"[""bible_8.txt"", ""bible_9.txt""]"
born,"[""bible_8.txt"", ""bible_9.txt""]"
borne,"[""bible_8.txt"", ""bible_9.txt""]"
borrower,"[""bible_8.txt"", ""bible_9.txt""]"
borroweth,"[""bible_8.txt""]"
bosom,"[""bible_8.txt"", ""bible_9.txt""]"
both,"[""bible_8.txt"", ""bible_9.txt""]"
bottle,"[""bible_8.txt""]"
bottom,"[""bible_9.txt""]"
bough,"[""bible_9.txt""]"
boughs,"[""bible_8.txt"", ""bible_9.txt""]"
bought,"[""bible_9.txt""]"
bound,"[""bible_8.txt"", ""bible_9.txt""]"
bounds,"[""bible_9.txt""]"
bountiful,"[""bible_8.txt"", ""bible_9.txt""]"
bountifully,"[""bible_8.txt""]"
bow,"[""bible_8.txt"", ""bible_9.txt""]"
bowed,"[""bible_8.txt"", ""bible_9.txt""]"
bowels,"[""bible_8.txt"", ""bible_9.txt""]"
boweth,"[""bible_9.txt""]"
bowing,"[""bible_8.txt""]"
bowl,"[""bible_9.txt""]"
bowmen,"[""bible_9.txt""]"
bows,"[""bible_8.txt"", ""bible_9.txt""]"
box,"[""bible_9.txt""]"
bozrah,"[""bible_9.txt""]"
bracelets,"[""bible_9.txt""]"
brake,"[""bible_8.txt""]"
brakest,"[""bible_8.txt""]"
brambles,"[""bible_9.txt""]"
branch,"[""bible_8.txt"", ""bible_9.txt""]"
branches,"[""bible_8.txt"", ""bible_9.txt""]"
brasen,"[""bible_9.txt""]"
brass,"[""bible_8.txt"", ""bible_9.txt""]"
bravery,"[""bible_9.txt""]"
brawling,"[""bible_8.txt"", ""bible_9.txt""]"
bray,"[""bible_9.txt""]"
breach,"[""bible_8.txt"", ""bible_9.txt""]"
breaches,"[""bible_8.txt"", ""bible_9.txt""]"
bread,"[""bible_8.txt"", ""bible_9.txt""]"
breadth,"[""bible_9.txt""]"
break,"[""bible_8.txt"", ""bible_9.txt""]"
breakest,"[""bible_8.txt""]"
breaketh,"[""bible_8.txt"", ""bible_9.txt""]"
breaking,"[""bible_8.txt"", ""bible_9.txt""]"
breast,"[""bible_9.txt""]"
breastplate,"[""bible_9.txt""]"
breasts,"[""bible_8.txt"", ""bible_9.txt""]"
breath,"[""bible_8.txt"", ""bible_9.txt""]"
breathe,"[""bible_8.txt""]"
brethren,"[""bible_8.txt"", ""bible_9.txt""]"
bribes,"[""bible_8.txt"", ""bible_9.txt""]"
brick,"[""bible_9.txt""]"
bricks,"[""bible_9.txt""]"
bride,"[""bible_9.txt""]"
bridegroom,"[""bible_8.txt"", ""bible_9.txt""]"
bridle,"[""bible_8.txt"", ""bible_9.txt""]"
brier,"[""bible_9.txt""]"
briers,"[""bible_9.txt""]"
bright,"[""bible_9.txt""]"
brightness,"[""bible_8.txt"", ""bible_9.txt""]"
brimstone,"[""bible_8.txt"", ""bible_9.txt""]"
bring,"[""bible_8.txt"", ""bible_9.txt""]"
bringest,"[""bible_9.txt""]"
bringeth,"[""bible_8.txt"", ""bible_9.txt""]"
bringing,"[""bible_8.txt""]"
broad,"[""bible_8.txt"", ""bible_9.txt""]"
broken,"[""bible_8.txt"", ""bible_9.txt""]"
brokenhearted,"[""bible_9.txt""]"
brook,"[""bible_8.txt"", ""bible_9.txt""]"
brooks,"[""bible_8.txt"", ""bible_9.txt""]"
broth,"[""bible_9.txt""]"
brother,"[""bible_8.txt"", ""bible_9.txt""]"
brothers,"[""bible_9.txt""]"
brought,"[""bible_8.txt"", ""bible_9.txt""]"
broughtest,"[""bible_8.txt""]"
brow,"[""bible_9.txt""]"
bruise,"[""bible_9.txt""]"
bruised,"[""bible_9.txt""]"
bruises,"[""bible_9.txt""]"
brutish,"[""bible_8.txt"", ""bible_9.txt""]"
bucket,"[""bible_9.txt""]"
buckler,"[""bible_8.txt""]"
bucklers,"[""bible_9.txt""]"
bud,"[""bible_8.txt"", ""bible_9.txt""]"
budded,"[""bible_9.txt""]"
build,"[""bible_8.txt"", ""bible_9.txt""]"
builded,"[""bible_8.txt"", ""bible_9.txt""]"
builders,"[""bible_8.txt""]"
buildeth,"[""bible_8.txt""]"
building,"[""bible_9.txt""]"
built,"[""bible_8.txt"", ""bible_9.txt""]"
bull,"[""bible_9.txt""]"
bullock,"[""bible_8.txt"", ""bible_9.txt""]"
bullocks,"[""bible_8.txt"", ""bible_9.txt""]"
bulls,"[""bible_8.txt"", ""bible_9.txt""]"
bulrush,"[""bible_9.txt""]"
bulrushes,"[""bible_9.txt""]"
bulwarks,"[""bible_8.txt"", ""bible_9.txt""]"
bunches,"[""bible_9.txt""]"
bundle,"[""bible_9.txt""]"
burden,"[""bible_8.txt"", ""bible_9.txt""]"
burdens,"[""bible_9.txt""]"
burial,"[""bible_9.txt""]"
buried,"[""bible_9.txt""]"
burn,"[""bible_8.txt"", ""bible_9.txt""]"
burned,"[""bible_8.txt"", ""bible_9.txt""]"
burneth,"[""bible_8.txt"", ""bible_9.txt""]"
burning,"[""bible_8.txt"", ""bible_9.txt""]"
burnings,"[""bible_9.txt""]"
burnt,"[""bible_8.txt"", ""bible_9.txt""]"
burst,"[""bible_8.txt"", ""bible_9.txt""]"
bursting,"[""bible_9.txt""]"
bury,"[""bible_8.txt""]"
bushes,"[""bible_9.txt""]"
bushy,"[""bible_9.txt""]"
business,"[""bible_8.txt"", ""bible_9.txt""]"
but,"[""bible_8.txt"", ""bible_9.txt""]"
butter,"[""bible_8.txt"", ""bible_9.txt""]"
buttocks,"[""bible_9.txt""]"
buy,"[""bible_8.txt"", ""bible_9.txt""]"
buyer,"[""bible_8.txt"", ""bible_9.txt""]"
buyeth,"[""bible_9.txt""]"
by,"[""bible_8.txt"", ""bible_9.txt""]"
byword,"[""bible_8.txt""]"
cage,"[""bible_9.txt""]"
calamities,"[""bible_8.txt""]"
calamity,"[""bible_8.txt"", ""bible_9.txt""]"
calamus,"[""bible_9.txt""]"
calf,"[""bible_8.txt"", ""bible_9.txt""]"
call,"[""bible_8.txt"", ""bible_9.txt""]"
called,"[""bible_8.txt"", ""bible_9.txt""]"
calledst,"[""bible_8.txt""]"
calleth,"[""bible_8.txt"", ""bible_9.txt""]"
calling,"[""bible_9.txt""]"
calm,"[""bible_8.txt""]"
calno,"[""bible_9.txt""]"
calve,"[""bible_8.txt""]"
calves,"[""bible_8.txt""]"
came,"[""bible_8.txt"", ""bible_9.txt""]"
camels,"[""bible_9.txt""]"
camest,"[""bible_9.txt""]"
camp,"[""bible_8.txt"", ""bible_9.txt""]"
camphire,"[""bible_9.txt""]"
can,"[""bible_8.txt"", ""bible_9.txt""]"
canaan,"[""bible_8.txt"", ""bible_9.txt""]"
candle,"[""bible_8.txt"", ""bible_9.txt""]"
cane,"[""bible_9.txt""]"
cannot,"[""bible_8.txt"", ""bible_9.txt""]"
canst,"[""bible_8.txt"", ""bible_9.txt""]"
captain,"[""bible_9.txt""]"
captive,"[""bible_8.txt"", ""bible_9.txt""]"
captives,"[""bible_8.txt"", ""bible_9.txt""]"
captivity,"[""bible_8.txt"", ""bible_9.txt""]"
carbuncles,"[""bible_9.txt""]"
carcase,"[""bible_9.txt""]"
carcases,"[""bible_9.txt""]"
carchemish,"[""bible_9.txt""]"
cared,"[""bible_8.txt""]"
careless,"[""bible_9.txt""]"
carelessly,"[""bible_9.txt""]"
