Token,bible_1.txt,bible_10.txt,bible_11.txt,bible_12.txt,bible_13.txt,bible_14.txt,bible_15.txt,bible_2.txt,bible_3.txt,bible_4.txt,bible_5.txt,bible_6.txt,bible_7.txt,bible_8.txt,bible_9.txt
agee,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
agent,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ages,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ago,0,0,0,2,2,4,0,0,0,1,0,1,1,0,2
agone,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
agony,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
agree,0,0,0,4,0,1,11,0,0,0,0,0,0,0,0
agreed,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0
agreement,0,0,1,0,0,1,18,0,0,0,0,1,0,0,3
agreeth,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
agrippa,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
aground,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ague,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
agur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ah,0,10,2,1,0,0,0,0,0,0,0,0,0,1,4
aha,0,0,3,0,0,0,0,0,0,0,0,0,0,6,1
ahab,0,2,1,0,0,0,0,0,0,0,52,37,0,0,0
ahabs,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
aharah,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aharhel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ahasai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ahasbai,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ahasuerus,0,0,1,0,0,0,0,0,0,0,0,0,30,0,0
ahava,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ahaz,0,0,2,0,0,0,0,0,0,0,0,24,9,0,7
ahaziah,0,0,0,0,0,0,0,0,0,0,5,32,0,0,0
ahban,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aher,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ahi,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ahiah,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
ahiam,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ahian,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ahiezer,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
ahihud,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
